genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1,Big Sean,Blessings - Extended Version,4UaWrzY75h1tAvlxa4NKP9,56,0.285,0.751,301960,0.6,0,A#,0.128,-8.11,Minor,0.395,118.397,4-Apr,0.137
1,Salaam Remi,Come Through And Chill,3AGJNb77KNgkQwRo7Zv13x,55,0.135,0.481,278955,0.594,0.0006,C#,0.121,-11.397,Major,0.123,176.26,4-Apr,0.515
1,NAV,With Me,3jlakYV0x21kzZvR1HUE4X,56,0.205,0.809,174320,0.776,0,C#,0.113,-4.746,Minor,0.224,155.037,4-Apr,0.697
1,Ludacris,Act A Fool,28mv40MzspRZn0PBcO2itT,62,0.221,0.568,270733,0.904,0,C,0.22,-2.497,Major,0.349,109.331,4-May,0.799
1,YBN Cordae,Old niggas,4UoB59D0giPmZaPlGQVYpw,60,0.714,0.802,206811,0.616,0,D,0.0929,-9.74,Major,0.712,91.894,4-Apr,0.606
1,Future,Turn On The Lights,4U8hMes3PqpsLJBeMXD71p,55,0.0409,0.596,248360,0.574,0,F#,0.147,-9.373,Minor,0.212,131.075,4-Apr,0.439
1,Lil Baby,I’m Straight,5zlRcS7ZHsnDgs4VDsDxwL,57,0.0106,0.736,192031,0.505,0,C,0.116,-10.06,Major,0.295,139.974,4-Apr,0.171
1,Quavo,GIVE IT TO EM (feat. Saweetie),1kvt3N2KmoSAunaEJNrgNM,59,0.013,0.879,182440,0.491,0,B,0.112,-7.459,Minor,0.339,152.008,4-Apr,0.224
1,Quality Control,Hook Up,0gUGjvCXLxvLoBLXJVrUSl,56,0.0682,0.882,207390,0.439,0,E,0.11,-8.663,Minor,0.129,125.046,4-Apr,0.467
1,Key Glock,Maybach,3THlMag2mVgUTs0qg0uai9,56,0.0273,0.956,163280,0.551,0,A,0.147,-5.66,Major,0.227,132.054,4-Apr,0.314
1,Denzel Curry,Good Night,6bcnokzOVQxpn0quzHj6vc,56,0.00349,0.771,236106,0.821,6.43E-05,B,0.108,-3.387,Minor,0.192,113.971,4-Apr,0.507
1,mysticphonk,Cut Myself,3aB9cvB01SJkC2czYpB1EY,59,0.0193,0.54,71915,0.465,0.289,D,0.0977,-11.717,Minor,0.0577,119.965,4-Apr,0.0381
1,Wiz Khalifa,The Race,3F3N97ZRJJf42YPpwy4iJZ,56,0.872,0.658,335613,0.748,5.59E-06,F,0.609,-6.323,Major,0.201,151.876,4-Apr,0.571
1,Blackalicious,Alphabet Aerobics,4z5L0qDduw3w1apQ4Qa6KV,57,0.0196,0.65,133800,0.515,0,A#,0.0974,-8.722,Minor,0.198,97.052,4-Apr,0.885
1,B2K,Uh Huh,2nBY2iQvxOIXrdlJvg7ZPo,61,0.0881,0.855,223293,0.681,3.70E-06,D,0.0592,-4.955,Major,0.0688,99.699,4-Apr,0.908
1,Canesecco,Yeo,2bmSprsuZC4ahNhsItYa9J,56,0.192,0.741,192000,0.826,0,G#,0.0462,-6.328,Minor,0.0875,99.995,4-Apr,0.653
1,Kin$oul,Members Only Shit,6t2dHDQMpBlHH0vrHIifaz,57,0.138,0.877,158067,0.803,9.19E-06,A,0.558,-6.021,Major,0.337,129.965,4-Apr,0.675
1,De La Ghetto,Sensacion Del Bloque,5clFSlfkCRlhnH1cAQjSBi,67,0.0977,0.709,182187,0.726,0,G,0.301,-7.129,Major,0.0411,92.006,4-Apr,0.404
1,Lupe Fiasco,WAV Files,0BWve9OJvo7ONwfR36Ty6Z,55,0.0517,0.573,398202,0.738,7.93E-05,F,0.12,-5.855,Minor,0.283,207.852,4-Apr,0.565
1,Aesop Rock,Preservation,4m5zY9PRJvqPRDhDMJwSel,55,0.0532,0.699,146533,0.697,0,D,0.22,-5.325,Major,0.11,87.883,4-Apr,0.348
1,Gang Starr,Moment Of Truth,1fotoYONO343JjbC8XvPSl,58,0.0157,0.532,247333,0.819,0,F#,0.371,-5.282,Minor,0.256,90.215,4-Apr,0.594
1,Young Thug,Webbie (feat. Duke),6pRkwu4Pt9d7Ki6g4ppOYj,56,0.123,0.696,235893,0.589,0,C#,0.134,-7.033,Minor,0.295,78.52,4-Apr,0.273
1,Mike WiLL Made-It,Check (with Nas & Rick Ross),5l0F6oCsl8HeDpod8S9tDh,59,0.105,0.566,216590,0.693,0,C#,0.103,-5.009,Major,0.241,81.637,4-Apr,0.732
1,Aventura,Su Veneno,709hAukJxapqTU9VhsiQm0,62,0.401,0.764,240707,0.574,0,A,0.11,-9.475,Minor,0.042,123.928,4-Apr,0.931
1,Badshah,Proper Patola,39ujbBjTwwqUFySaCYDMMT,63,0.485,0.77,178605,0.824,0,C#,0.318,-6.491,Minor,0.0851,172.006,4-Apr,0.49
1,Logic,Intro,4nkRk3BRQaW941xxtZVBew,54,0.603,0.511,182800,0.413,0,D,0.219,-10.839,Major,0.0725,80.595,4-Apr,0.736
1,Big Sean,Light,0URaKGzNTtzKRtsJN1RkA9,55,0.831,0.578,210507,0.608,0,G,0.108,-5.997,Minor,0.0507,84.932,4-Apr,0.199
1,Kodak Black,Young Prodigy,6oc6nO8gds2vYHtt1WnCXL,56,0.109,0.839,189518,0.613,0,G#,0.168,-5.685,Major,0.327,136.081,4-Apr,0.533
1,T.I.,24's,33j4CLU9UyRjO63ry5J61Q,54,0.227,0.739,282907,0.725,0,F#,0.0991,-4.301,Major,0.203,162.06,4-Apr,0.582
1,Kid Cudi,Swim In The Light,5cjsgbZ8tZYD4f0LNpApnf,54,0.608,0.527,269227,0.379,0.383,D,0.11,-10.715,Major,0.0407,165.132,4-Mar,0.116
1,DJ Khaled,I Got the Keys (feat. Jay-Z & Future),51Nwg5wCDDiqcTntgJUlLo,56,0.00287,0.686,219759,0.623,0.00145,C#,0.219,-3.425,Major,0.13,140.171,4-Apr,0.176
1,Scarface,On My Block,3XcsaghGUCL9WzJz3TlLKo,54,0.165,0.834,214533,0.917,0,A#,0.0533,-3.194,Major,0.205,82.766,4-Apr,0.601
1,Joyner Lucas,Keep It 100,5EVGgRH4HAJXn5jiCLsBUo,56,0.408,0.58,417377,0.911,0,C#,0.188,-6.574,Major,0.547,170.829,4-Apr,0.528
1,A$AP Mob,Runner,44gZSuP2nPUvab9ajBrnVM,55,0.0977,0.856,199987,0.548,0,G#,0.115,-6.658,Major,0.205,130.063,4-Apr,0.312
1,Rage Against The Machine,Bombtrack,2rBHnIxbhkMGLpqmsNX91M,64,0.0239,0.459,243453,0.926,1.93E-05,E,0.183,-3.415,Major,0.155,151.534,4-Apr,0.569
1,Russ,Look,6VZ10jug9GcFvNjd6w8kSI,55,0.199,0.746,187559,0.544,1.82E-05,G,0.315,-6.748,Minor,0.0424,127.99,4-Apr,0.26
1,Rick Ross,So Sophisticated,0pNMYo9MXmyyR9Fp9HwiBT,57,0.023,0.637,247267,0.863,0,D,0.628,-5.891,Major,0.309,153.949,4-Apr,0.516
1,KRS-One,MC's Act Like They Don't Know,0snDRsjNRMJhm7SVja8l6J,61,0.0101,0.855,295933,0.798,0.000615,C#,0.628,-4.018,Major,0.237,90.429,4-Apr,0.855
1,Action Bronson,Easy Rider,4AH8GJVosfrbfhe5NVTAnx,56,0.0339,0.422,259301,0.851,0,B,0.152,-4.031,Major,0.0398,93.649,4-Apr,0.667
1,Valee,I Got Whatever,5hQ4hEDftppp4Akv37vdbs,56,0.00864,0.939,130893,0.4,0.0347,C,0.0756,-8.821,Major,0.22,139.986,4-Apr,0.342
1,TLC,What About Your Friends,63PIgPkDf3rswlU4ZWCYAM,59,0.0267,0.744,293600,0.851,0.00738,A#,0.0989,-10.108,Minor,0.049,105.882,4-Apr,0.626
1,LL Cool J,Headsprung,1GIN41bLhiKeEPeC2vXH8i,55,0.0129,0.574,267320,0.799,2.63E-05,C,0.0741,-5.734,Major,0.0426,199.804,4-Apr,0.463
1,Ying Yang Twins,Say I Yi Yi,46XvcuEZFFInDilbYUNHBn,54,0.00233,0.782,272507,0.627,1.27E-05,G#,0.201,-6.509,Minor,0.115,94.967,4-Apr,0.485
